TotalToDos,TotalTasksAssigned,TotalTasksCompleted,TotalChecklistsAssigned,TotalChecklistsCompleted,TotalInfractions,TotalShiftSubmissionsCreated,TotalShiftSubmissionsCompleted,SetupsCreated,TotalBreaksRan,TotalCreatedPlays,TotalWastedItems,FirstWasteDate,TotalWastedItemsAllTime,TopPerformances,10PointRecognition,25PointRecognition,50PointRecognition,TotalRewardsRedeemed,TenantID,StoreName,StoreNumber,WasteOnly,CreationDate,State
119,0,0,57,46,43,0,0,0,0,0,,2023-01-04 13:12:58,1,0,8,11,13,0,CFA_327566798,St. Clairsville FSR,04253,false,2022-12-05 15:38:09,OH
6,0,0,6,3,0,0,0,2,14,4,,2022-12-12 12:18:12,61,0,0,1,4,18,CFA_335999514,Peachtree at Collier,01262,false,2022-12-07 15:46:58,GA
1973,236,281,1650,1243,29,3,0,34,3,12,2554,2023-01-12 18:45:16,2571,0,167,43,15,22,CFA_340045866,Paducah,02194,false,2022-12-30 18:22:03,KY
2471,208,268,1756,1102,0,161,50,319,1403,30,2998,2023-01-30 00:46:22,4308,65,1,0,0,57,CFA_346711803,Winterpock,02792,false,2022-12-26 17:53:59,VA
506,0,1,294,256,114,80,0,0,0,1,21912,2023-01-13 14:22:13,34025,1,4,0,1,1,CFA_353087842,Hwy 59 and Kirby,01801,false,2022-12-31 18:18:58,TX
1321,2,2,1308,522,7,0,0,374,585,1,2124,2022-12-20 10:50:02,5757,0,11,23,59,11,CFA_359265877,Joshua Towne Restaurants,01758,false,2022-12-07 19:58:35,NC
0,0,0,0,0,0,0,0,0,0,14,,2022-12-19 09:19:58,272,0,25,9,7,0,CFA_362788039,183 & Central ,04190,false,2022-12-12 19:58:40,TX
0,0,0,0,0,0,0,0,0,0,7,3252,2023-01-19 09:30:17,3864,0,1,0,0,0,CFA_374171812,Hwy 99 & 196th FSU,04373,true,2022-12-30 22:39:18,
583,44,47,535,399,0,0,0,188,0,21,2728,2022-12-13 22:43:14,13986,0,0,1,0,1,CFA_376045130,North Garland,01474,false,2022-12-12 18:28:50,TX
1189,64,67,628,401,158,267,140,0,0,0,3906,2022-12-08 16:10:44,9538,301,161,68,34,3,CFA_376278095,Ocean View Hills,04241,false,2022-11-25 23:54:37,CA
